datetime,signal
2021-07-01_21:24:00,2
2021-07-01_21:25:00,1
2021-07-01_21:26:00,1
2021-07-01_21:27:00,0
2021-07-01_21:28:00,2
2021-07-01_21:29:00,2
2021-07-01_21:30:00,0
2021-07-01_21:31:00,2
2021-07-01_21:32:00,0
2021-07-01_21:33:00,0
2021-07-01_21:34:00,0
2021-07-01_21:35:00,2
2021-07-01_21:36:00,2
2021-07-01_21:37:00,2
2021-07-01_21:38:00,1
2021-07-01_21:39:00,1
2021-07-01_21:40:00,2
2021-07-01_21:41:00,0
2021-07-01_21:42:00,1
2021-07-01_21:43:00,1
2021-07-01_21:44:00,2
2021-07-01_21:45:00,2
2021-07-01_21:46:00,0
2021-07-01_21:47:00,2
2021-07-01_21:48:00,1
2021-07-01_21:49:00,2
2021-07-01_21:50:00,2
2021-07-01_21:51:00,0
2021-07-01_21:52:00,1
2021-07-01_21:53:00,1
2021-07-01_21:54:00,0
2021-07-01_21:55:00,1
2021-07-01_21:56:00,1
2021-07-01_21:57:00,0
2021-07-01_21:58:00,1
2021-07-01_21:59:00,1
2021-07-01_22:00:00,2
2021-07-01_22:01:00,1
2021-07-01_22:02:00,1
2021-07-01_22:03:00,0
2021-07-01_22:04:00,1
2021-07-01_22:05:00,2
2021-07-01_22:06:00,1
2021-07-01_22:07:00,1
2021-07-01_22:08:00,1
2021-07-01_22:09:00,1
2021-07-01_22:10:00,0
2021-07-01_22:11:00,1
2021-07-01_22:12:00,2
2021-07-01_22:13:00,0
2021-07-01_22:14:00,0
2021-07-01_22:15:00,2
2021-07-01_22:16:00,1
2021-07-01_22:17:00,0
2021-07-01_22:18:00,2
2021-07-01_22:19:00,0
2021-07-01_22:20:00,0
2021-07-01_22:21:00,2
2021-07-01_22:22:00,0
2021-07-01_22:23:00,2
2021-07-01_22:24:00,0
2021-07-01_22:25:00,0
2021-07-01_22:26:00,1
2021-07-01_22:27:00,0
2021-07-01_22:28:00,2
2021-07-01_22:29:00,0
2021-07-01_22:30:00,2
2021-07-01_22:31:00,0
2021-07-01_22:32:00,2
2021-07-01_22:33:00,2
2021-07-01_22:34:00,0
2021-07-01_22:35:00,0
2021-07-01_22:36:00,1
2021-07-01_22:37:00,2
2021-07-01_22:38:00,1
2021-07-01_22:39:00,2
2021-07-01_22:40:00,2
2021-07-01_22:41:00,1
2021-07-01_22:42:00,1
2021-07-01_22:43:00,0
2021-07-01_22:44:00,2
2021-07-01_22:45:00,2
2021-07-01_22:46:00,2
2021-07-01_22:47:00,1
2021-07-01_22:48:00,2
2021-07-01_22:49:00,0
2021-07-01_22:50:00,0
2021-07-01_22:51:00,1
2021-07-01_22:52:00,1
2021-07-01_22:53:00,1
2021-07-01_22:54:00,1
2021-07-01_22:55:00,2
2021-07-01_22:56:00,1
2021-07-01_22:57:00,1
2021-07-01_22:58:00,2
2021-07-01_22:59:00,0
2021-07-01_23:00:00,0
2021-07-02_21:01:00,1
2021-07-02_21:02:00,0
