,unit,exchangeCD,currencyCD,barTime,dataDate,clearingDay,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue,openInterest,ticker
235,1,XDCE,CNY,11:10,2021-04-01,2021-04-01,3534,3534,3536,3533,2061,72843240,1445619,M2109
236,1,XDCE,CNY,11:11,2021-04-01,2021-04-01,3535,3534,3536,3533,2083,73619040,1445935,M2109
237,1,XDCE,CNY,11:12,2021-04-01,2021-04-01,3534,3535,3535,3533,1480,52302410,1446271,M2109
238,1,XDCE,CNY,11:13,2021-04-01,2021-04-01,3537,3535,3537,3534,2648,93620280,1445924,M2109
239,1,XDCE,CNY,11:14,2021-04-01,2021-04-01,3536,3537,3538,3535,2192,77520270,1446107,M2109
240,1,XDCE,CNY,11:15,2021-04-01,2021-04-01,3538,3536,3539,3536,3363,118955780,1446227,M2109
241,1,XDCE,CNY,11:16,2021-04-01,2021-04-01,3534,3538,3538,3534,2026,71645800,1445611,M2109
242,1,XDCE,CNY,11:17,2021-04-01,2021-04-01,3532,3535,3535,3532,2585,91353030,1445283,M2109
243,1,XDCE,CNY,11:18,2021-04-01,2021-04-01,3532,3533,3533,3530,4297,151741420,1445368,M2109
244,1,XDCE,CNY,11:19,2021-04-01,2021-04-01,3532,3532,3533,3530,2501,88320770,1445499,M2109
245,1,XDCE,CNY,11:20,2021-04-01,2021-04-01,3534,3532,3534,3532,1425,50337360,1445617,M2109
246,1,XDCE,CNY,11:21,2021-04-01,2021-04-01,3532,3534,3534,3531,1992,70362410,1446453,M2109
247,1,XDCE,CNY,11:22,2021-04-01,2021-04-01,3535,3532,3536,3532,2562,90549020,1446328,M2109
248,1,XDCE,CNY,11:23,2021-04-01,2021-04-01,3533,3535,3535,3532,1598,56458440,1446639,M2109
